지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
108,서울,2022-01-01,-4.3,-10.2,2.3
108,서울,2022-01-02,-1.3,-5.2,3
108,서울,2022-01-03,-1.9,-8,2.5
108,서울,2022-01-04,-2.5,-5.6,1
108,서울,2022-01-05,-2.8,-7.8,1.9
108,서울,2022-01-06,-2.2,-5.9,3.3
108,서울,2022-01-07,-1.6,-5.9,4.5
108,서울,2022-01-08,.3,-5,3.7
108,서울,2022-01-09,1.3,-1.2,5.6
108,서울,2022-01-10,.5,-3.4,4.4
108,서울,2022-01-11,-7.4,-10.3,.3
108,서울,2022-01-12,-7.7,-11.3,-3.4
108,서울,2022-01-13,-6.4,-8.9,-3.1
108,서울,2022-01-14,-4.8,-10.1,1.3
108,서울,2022-01-15,-1,-5.3,1.8
108,서울,2022-01-16,-2,-7.2,2.4
108,서울,2022-01-17,-5.8,-9.2,.1
108,서울,2022-01-18,-5.6,-9.9,-.7
108,서울,2022-01-19,-5.3,-7.7,-2.7
108,서울,2022-01-20,-5,-9.8,.9
108,서울,2022-01-21,-2.7,-8.7,4.6
108,서울,2022-01-22,.3,-5,7.1
108,서울,2022-01-23,2,-.6,6.7
108,서울,2022-01-24,4.6,1.3,8.4
108,서울,2022-01-25,2.8,1.9,4.5
108,서울,2022-01-26,1.3,-1.9,6.8
108,서울,2022-01-27,-1.1,-4.6,4
108,서울,2022-01-28,-2.7,-5.9,2.1
108,서울,2022-01-29,-3.6,-7.2,.9
108,서울,2022-01-30,-2.8,-8,2.4
108,서울,2022-01-31,-.7,-6.8,4.8
108,서울,2022-02-01,-1.3,-2.7,.9
108,서울,2022-02-02,-3.4,-6,0
108,서울,2022-02-03,-3.4,-6.9,.4
108,서울,2022-02-04,-5.2,-8.2,-.7
108,서울,2022-02-05,-6.6,-9.7,-2
108,서울,2022-02-06,-3.9,-8.4,1.7
108,서울,2022-02-07,-2.5,-7.3,1.9
108,서울,2022-02-08,-.1,-4.1,5.6
108,서울,2022-02-09,1,-4.3,7.2
108,서울,2022-02-10,1.4,-3.2,6.7
108,서울,2022-02-11,2.9,-2.6,8.8
108,서울,2022-02-12,4.8,-.1,10.4
108,서울,2022-02-13,4.8,1.6,9.5
108,서울,2022-02-14,2.5,-1.3,8.1
108,서울,2022-02-15,-4.7,-7.7,-1.3
108,서울,2022-02-16,-7.3,-9.6,-4.1
108,서울,2022-02-17,-6.2,-10.7,-.5
108,서울,2022-02-18,-1.2,-8,5.7
108,서울,2022-02-19,-1.7,-6.2,3.7
108,서울,2022-02-20,-4.8,-8.4,-.5
108,서울,2022-02-21,-3,-8.1,3.6
108,서울,2022-02-22,-4.5,-8,.5
108,서울,2022-02-23,-5.6,-10,-.6
108,서울,2022-02-24,-2.4,-8.5,3.7
108,서울,2022-02-25,3,-3.6,8.4
108,서울,2022-02-26,5.4,1,9.3
108,서울,2022-02-27,3.7,-1.6,9.1
108,서울,2022-02-28,6.8,2.7,11.5
108,서울,2022-03-01,5.8,.3,9.7
108,서울,2022-03-02,3.5,-2.3,8.8
108,서울,2022-03-03,5.8,.9,12.4
108,서울,2022-03-04,6.9,.6,14.6
108,서울,2022-03-05,2.3,-.7,6.7
108,서울,2022-03-06,1.4,-3,6.8
108,서울,2022-03-07,2.8,-2.7,8.7
108,서울,2022-03-08,6,1.1,12.3
108,서울,2022-03-09,7.1,1.7,14.8
108,서울,2022-03-10,9.3,4.2,15.8
108,서울,2022-03-11,11.2,5.1,18.4
108,서울,2022-03-12,12.8,6.3,19.5
108,서울,2022-03-13,11.7,10.7,12.6
108,서울,2022-03-14,8.2,4.9,13.2
108,서울,2022-03-15,7.2,2.3,13.3
108,서울,2022-03-16,10.3,3.6,16.8
108,서울,2022-03-17,10.7,7.8,15.1
108,서울,2022-03-18,7.5,5.5,9.6
108,서울,2022-03-19,3.4,.9,6.1
108,서울,2022-03-20,5.4,2.2,9.3
108,서울,2022-03-21,5,-.3,10.9
108,서울,2022-03-22,7.1,1.1,13.6
108,서울,2022-03-23,6.2,4.9,8.2
108,서울,2022-03-24,8.2,3.9,12.4
108,서울,2022-03-25,12,6.3,17.2
108,서울,2022-03-26,11.8,9.5,14.7
108,서울,2022-03-27,8.1,5,12.6
108,서울,2022-03-28,8.2,1.5,15.1
108,서울,2022-03-29,9.7,3.3,15.6
108,서울,2022-03-30,10.8,5.9,15.7
108,서울,2022-03-31,10.9,7.6,14.7
108,서울,2022-04-01,9.2,4.5,14.9
108,서울,2022-04-02,8.2,3.7,14.2
108,서울,2022-04-03,9.6,3.5,17
108,서울,2022-04-04,10.3,5.1,16.4
108,서울,2022-04-05,10.3,4.9,15.8
108,서울,2022-04-06,11.7,8,17
108,서울,2022-04-07,10.9,7.4,15.7
108,서울,2022-04-08,12.9,5.1,20
108,서울,2022-04-09,17.8,12.4,24.2
108,서울,2022-04-10,18.2,12.7,25.1
108,서울,2022-04-11,19.6,13.4,26.6
108,서울,2022-04-12,19.3,15.9,26.4
108,서울,2022-04-13,13.1,12,15.9
108,서울,2022-04-14,13.2,11.4,15.3
108,서울,2022-04-15,13.3,7.5,19.3
108,서울,2022-04-16,13.2,7.1,20.2
108,서울,2022-04-17,14,7.2,21.9
108,서울,2022-04-18,15.2,11.4,21.6
108,서울,2022-04-19,15.2,8.9,22.1
108,서울,2022-04-20,15.7,9.7,22.1
108,서울,2022-04-21,16.3,9.6,22.7
108,서울,2022-04-22,15,13.2,16.8
108,서울,2022-04-23,17.7,10.4,25.3
108,서울,2022-04-24,18.5,15,24.5
108,서울,2022-04-25,20,17,23.6
108,서울,2022-04-26,21.9,17,28.7
108,서울,2022-04-27,17.7,12.6,23.9
108,서울,2022-04-28,18.2,11.6,25.9
108,서울,2022-04-29,13.4,10.7,16.5
108,서울,2022-04-30,13,10.5,17.8
108,서울,2022-05-01,13.4,7.9,19.2
108,서울,2022-05-02,14.2,9.1,19.4
108,서울,2022-05-03,14.8,9.1,20.8
108,서울,2022-05-04,17.8,10,25.2
108,서울,2022-05-05,18.9,12.5,25.8
108,서울,2022-05-06,19.6,13.7,25.6
108,서울,2022-05-07,18.4,15.3,23.1
108,서울,2022-05-08,15.3,11.7,18.2
108,서울,2022-05-09,17.9,11,25.3
108,서울,2022-05-10,19.9,13.6,26.3
108,서울,2022-05-11,19.7,16.6,25.2
108,서울,2022-05-12,20.9,14.1,28.1
108,서울,2022-05-13,19.4,15,25.2
108,서울,2022-05-14,15.7,11.9,20
108,서울,2022-05-15,16.2,10.5,22.4
108,서울,2022-05-16,17.3,10.9,23.7
108,서울,2022-05-17,20,13,27.4
108,서울,2022-05-18,20,15.7,25.4
108,서울,2022-05-19,19.9,16.1,24.2
108,서울,2022-05-20,20.6,15.6,25.8
108,서울,2022-05-21,20.1,16.1,26
108,서울,2022-05-22,20.3,15.7,25.8
