순위,영화명,개봉일,예매점유율,예매매출액,누적매출액,예매관객수,누적관객수
169,오늘 출가합니다,2023-04-05,0.0%,7000 ,8377299 ,1 ,936 
169,코다,2021-08-31,0.0%,7000 ,708219599 ,1 ,78613 
169,2대1 출장녀 무삭제,,0.0%,6000 ,0 ,1 ,0 
169,빚 대신 내 아내를 빌려줄게요,,0.0%,6000 ,0 ,1 ,0 
169,발정난 가정부 언니 : 굶주렸어요,,0.0%,6000 ,0 ,1 ,0 
169,발정난 인싸 자매,,0.0%,6000 ,0 ,1 ,0 
169,하숙집 딸내미들,,0.0%,6000 ,0 ,1 ,0 
169,잘 세우는 옆집 여자 : 잔뜩 쌓였어,,0.0%,6000 ,0 ,1 ,0 
169,며느리 사생활 : 참을 수 없어,,0.0%,6000 ,0 ,1 ,0 
169,아지매의 뒷문 단속,,0.0%,6000 ,0 ,1 ,0 
169,그래도 내가 하지 않았어,2008-12-11,0.0%,3000 ,11835000 ,1 ,1833 
169,골프 서비스,,0.0%,1000 ,0 ,1 ,0 
