계룡시,17956,18051,18062,18119
당진시,80998,81199,81335,81526
금산군,26164,26180,26193,26317
부여군,32988,32945,32905,32867
서천군,26662,26666,26675,26661
청양군,16550,16567,16524,16513
홍성군,46786,46871,46837,46787
예산군,39597,39605,39646,39943
태안군,33208,33209,33140,33103
전주시,296394,296241,296124,296295
완산구,153706,153551,153520,153612
덕진구,142688,142690,142604,142683
전주시효자출장소,0,0,0,0
군산시,123085,123176,123275,123427
익산시,130186,130068,129966,130079
익산시함열출장소,0,0,0,0
정읍시,54490,54528,54485,54645
남원시,39787,39799,39770,39832
김제시,43144,43215,43401,43491
완주군,44999,45356,45710,46061
진안군,13509,13513,13490,13528
무주군,12949,12932,12915,12920
장수군,11599,11611,11590,11564
임실군,14956,14992,15000,15013
순창군,14124,14132,14139,14191
고창군,28619,28592,28657,28653
부안군,27732,27694,27710,27805
목포시,103972,104039,104043,104065
여수시,128785,128720,128693,128794
순천시,124884,124828,124858,125053
나주시,59754,59865,59979,60088
광양시,68684,68734,68851,69046
담양군,24743,24787,24746,24684
곡성군,15505,15512,15524,15493
구례군,13418,13429,13418,13420
고흥군,35479,35445,35437,35388
보성군,22315,22282,22275,22252
화순군,32108,32093,32083,32097
장흥군,19815,19788,19779,19757
강진군,18532,18550,18545,18540
해남군,35077,35074,35086,35092
영암군,28388,28353,28352,28401
무안군,43164,43119,43206,43246
함평군,18015,18010,18012,18029
영광군,27530,27549,27569,27595
장성군,23276,23358,23353,23398
완도군,25767,25781,25766,25774
진도군,16580,16578,16585,16609
신안군,21824,21816,21810,21901
포항시,232411,232371,232329,232471
남구,109530,109532,109583,109654
북구,122881,122839,122746,122817
경주시,124055,124027,123983,124099
김천시,69080,69038,68928,69079
안동시,77839,77759,77740,77831
구미시,184340,184786,184999,185361
영주시,50645,50663,50644,50731
영천시,54334,54431,54422,54594
상주시,49364,49315,49281,49380
문경시,37143,37056,36977,36946
경산시,127105,127392,127435,127901
군위군,13672,13693,13689,13691
의성군,28900,29005,29017,29019
청송군,14052,14038,14030,14021
영양군,9079,9070,9056,9035
영덕군,19721,19741,19739,19735
청도군,23437,23443,23457,23515
고령군,16726,16758,16767,16812
성주군,23873,23918,23975,24012
칠곡군,54463,54443,54447,54480
예천군,28195,28155,28144,28176
봉화군,16833,16830,16829,16822
울진군,25448,25462,25486,25458
울릉군,5455,5479,5466,5516
창원시,456313,456191,456181,456357
의창구,96733,96712,96695,96737
성산구,106201,106194,106182,106208
마산합포구,84780,84722,84715,84783
마산회원구,82728,82697,82692,82694
진해구,85871,85866,85897,85935
진주시,158797,158827,158787,159148
통영시,59588,59506,59523,59529
사천시,54438,54395,54478,54523
사천남양출장소,0,0,0,0
김해시,228451,228540,228661,228926
장유출장소,0,0,0,0
밀양시,53558,53674,53626,53679
거제시,103488,103495,103446,103554
양산시,155611,155897,156086,156375
양산시웅상출장소,0,0,0,0
의령군,15090,15098,15075,15068
함안군,30823,30808,30804,30806
창녕군,32272,32198,32208,32212
고성군,26301,26564,26503,26476
남해군,22834,22774,22729,22724
하동군,23695,23675,23666,23663
산청군,19597,19576,19614,19664
함양군,20889,20868,20834,20806
거창군,30710,30659,30609,30719
합천군,24192,24185,24179,24156
제주시,222554,222599,222600,222979
서귀포시,88749,88756,88760,88822
