"지수종류(1)",2018.01,2018.01,2018.01,2018.02,2018.02,2018.02,2018.03,2018.03,2018.03,2018.04,2018.04,2018.04,2018.05,2018.05,2018.05,2018.06,2018.06,2018.06,2018.07,2018.07,2018.07,2018.08,2018.08,2018.08,2018.09,2018.09,2018.09,2018.10,2018.10,2018.10,2018.11,2018.11,2018.11,2018.12,2018.12,2018.12,2019.01,2019.01,2019.01,2019.02,2019.02,2019.02,2019.03,2019.03,2019.03,2019.04,2019.04,2019.04,2019.05,2019.05,2019.05,2019.06,2019.06,2019.06,2019.07,2019.07,2019.07,2019.08,2019.08,2019.08,2019.09,2019.09,2019.09,2019.10,2019.10,2019.10,2019.11,2019.11,2019.11,2019.12,2019.12,2019.12,2020.01,2020.01,2020.01,2020.02,2020.02,2020.02,2020.03,2020.03,2020.03,2020.04,2020.04,2020.04,2020.05,2020.05,2020.05,2020.06,2020.06,2020.06,2020.07,2020.07,2020.07,2020.08,2020.08,2020.08,2020.09,2020.09,2020.09,2020.10,2020.10,2020.10,2020.11,2020.11,2020.11,2020.12,2020.12,2020.12,2021.01,2021.01,2021.01,2021.02,2021.02,2021.02,2021.03,2021.03,2021.03,2021.04,2021.04,2021.04,2021.05,2021.05,2021.05,2021.06,2021.06,2021.06,2021.07,2021.07,2021.07,2021.08,2021.08,2021.08,2021.09,2021.09,2021.09,2021.10,2021.10,2021.10,2021.11,2021.11,2021.11,2021.12,2021.12,2021.12,2022.01,2022.01,2022.01,2022.02,2022.02,2022.02,2022.03,2022.03,2022.03,2022.04,2022.04,2022.04
"지수종류(1)",전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%),전월비 (%),전년동월비(%),전년누계비(%)
"총지수",0.4,0.8,0.8,0.8,1.3,1.0,-0.1,1.2,1.1,0.2,1.5,1.2,0.0,1.5,1.2,-0.2,1.5,1.3,-0.2,1.1,1.3,0.9,1.4,1.3,0.8,2.1,1.4,-0.2,2.0,1.4,-0.7,2.0,1.5,-0.3,1.3,1.5,-0.1,0.8,0.8,0.4,0.5,0.6,-0.2,0.4,0.5,0.4,0.6,0.5,0.2,0.7,0.6,-0.2,0.7,0.6,-0.3,0.6,0.6,0.2,0.0,0.5,0.4,-0.4,0.4,0.2,0.0,0.4,-0.6,0.2,0.4,0.2,0.7,0.4,0.4,1.2,1.2,0.1,0.9,1.0,-0.2,0.8,1.0,-0.4,0.0,0.7,-0.1,-0.2,0.5,0.3,0.2,0.5,-0.1,0.4,0.5,0.6,0.8,0.5,0.5,0.9,0.6,-0.6,0.1,0.5,-0.1,0.6,0.5,0.2,0.6,0.5,0.7,0.9,0.9,0.5,1.4,1.2,0.3,1.9,1.4,0.1,2.5,1.7,0.1,2.6,1.9,0.0,2.3,2.0,0.2,2.6,2.1,0.5,2.6,2.1,0.4,2.4,2.2,0.2,3.2,2.3,0.5,3.8,2.4,0.2,3.7,2.5,0.6,3.6,3.6,0.6,3.7,3.6,0.7,4.1,3.8,0.7,4.8,4.1
"생활물가지수",0.6,0.7,0.7,1.0,1.3,1.0,-0.2,1.1,1.0,0.0,1.5,1.2,0.0,1.5,1.2,-0.1,1.5,1.3,-0.4,1.1,1.2,1.2,1.5,1.3,1.3,2.5,1.4,-0.3,2.6,1.5,-1.0,2.3,1.6,-0.8,1.3,1.6,-0.3,0.4,0.4,0.6,0.0,0.2,-0.2,0.0,0.2,0.3,0.4,0.2,0.5,0.8,0.3,-0.1,0.8,0.4,-0.8,0.4,0.4,0.3,-0.4,0.3,0.8,-0.9,0.2,0.4,-0.3,0.1,-0.6,0.2,0.1,0.1,1.1,0.2,0.3,1.7,1.7,0.1,1.2,1.5,0.0,1.4,1.4,-0.8,0.2,1.1,-0.2,-0.5,0.8,0.5,0.1,0.7,-0.5,0.3,0.6,0.7,0.7,0.6,1.1,1.0,0.7,-1.3,-0.7,0.5,0.1,0.0,0.5,0.2,0.0,0.4,1.1,0.8,0.8,0.9,1.7,1.3,0.4,2.1,1.6,0.1,3.1,1.9,0.0,3.4,2.2,0.1,3.0,2.4,0.0,3.5,2.5,0.5,3.3,2.6,0.9,3.1,2.7,0.2,4.6,2.9,0.6,5.2,3.1,-0.4,4.6,3.2,0.6,4.1,4.1,0.9,4.1,4.1,1.2,5.0,4.4,0.8,5.7,4.7
"신선식품지수",5.1,-5.2,-5.2,8.9,2.6,-1.3,-5.3,-1.2,-1.3,0.4,3.1,-0.2,-3.6,1.9,0.2,-5.5,-0.2,0.1,-0.9,-1.3,-0.1,18.2,4.8,0.6,9.3,11.0,1.8,-8.2,11.2,2.7,-8.6,10.5,3.4,0.0,6.6,3.6,-0.2,1.2,1.2,2.1,-5.2,-2.2,-3.1,-3.0,-2.4,0.7,-2.7,-2.5,-3.0,-2.1,-2.4,-3.5,0.0,-2.0,-2.5,-1.6,-2.0,3.4,-13.9,-3.6,7.6,-15.3,-5.1,-0.1,-7.8,-5.4,-6.1,-5.3,-5.4,3.2,-2.2,-5.1,4.7,2.6,2.6,-1.0,-0.4,1.1,1.6,4.3,2.2,-2.0,1.6,2.0,-0.8,3.8,2.4,-1.0,6.5,3.0,3.0,12.5,4.3,9.3,18.9,6.1,8.8,20.2,7.7,-1.7,18.3,8.8,-11.1,12.0,9.1,-0.2,8.3,9.0,5.6,9.2,9.2,6.8,17.8,13.5,-0.6,15.2,14.0,-2.9,14.1,14.1,-3.4,11.1,13.5,-3.7,8.0,12.6,-0.3,4.6,11.4,3.7,-0.9,9.8,4.7,-4.6,7.9,-5.0,-7.8,6.1,1.7,5.6,6.1,0.9,6.7,6.2,4.9,6.0,6.0,-0.1,-0.9,2.4,-2.0,-2.2,0.9,0.2,1.0,0.9
"농산물및석유류제외지수",0.2,0.9,0.9,0.4,1.1,1.0,0.2,1.3,1.1,0.3,1.4,1.2,0.1,1.3,1.2,-0.1,1.2,1.2,-0.2,0.8,1.1,0.2,0.9,1.1,0.3,1.3,1.1,0.1,1.2,1.1,-0.2,1.4,1.2,0.0,1.3,1.2,0.2,1.2,1.2,0.4,1.3,1.2,-0.1,0.9,1.1,0.2,0.9,1.1,0.1,0.8,1.0,-0.1,0.9,1.0,-0.2,1.0,1.0,0.1,0.9,1.0,0.0,0.6,0.9,0.2,0.8,0.9,-0.3,0.6,0.9,0.1,0.7,0.9,0.2,0.7,0.7,0.2,0.5,0.6,-0.1,0.5,0.6,0.1,0.3,0.5,0.3,0.6,0.5,0.2,0.8,0.6,-0.2,0.7,0.6,0.2,0.8,0.6,0.1,0.9,0.7,-0.5,0.2,0.6,0.5,1.1,0.6,0.1,1.1,0.7,0.3,1.2,1.2,0.2,1.2,1.2,0.1,1.4,1.3,0.2,1.6,1.4,0.2,1.5,1.4,0.1,1.5,1.4,0.1,1.8,1.5,0.3,1.9,1.5,0.2,2.0,1.6,0.3,2.8,1.7,0.2,2.4,1.8,0.4,2.7,1.8,0.5,3.0,3.0,0.4,3.2,3.1,0.2,3.3,3.2,0.6,3.6,3.3
"식료품및에너지제외지수",0.2,1.0,1.0,0.4,1.2,1.1,0.2,1.3,1.2,0.2,1.4,1.2,0.1,1.4,1.3,-0.2,1.3,1.3,0.0,1.0,1.2,0.2,1.0,1.2,-0.1,1.1,1.2,0.1,1.0,1.2,-0.1,1.2,1.2,0.0,1.1,1.2,0.2,1.0,1.0,0.5,1.1,1.1,-0.2,0.7,1.0,0.2,0.7,0.9,0.0,0.6,0.8,-0.1,0.7,0.8,0.2,0.9,0.8,0.1,0.8,0.8,-0.4,0.5,0.8,0.2,0.6,0.8,-0.2,0.5,0.7,0.1,0.6,0.7,0.2,0.6,0.6,0.2,0.4,0.5,-0.3,0.2,0.4,0.0,0.1,0.3,0.1,0.2,0.3,0.1,0.4,0.3,0.1,0.3,0.3,0.2,0.4,0.3,-0.2,0.6,0.4,-0.7,-0.3,0.3,0.7,0.6,0.3,0.1,0.6,0.4,0.3,0.7,0.7,0.1,0.6,0.7,0.1,1.1,0.8,0.2,1.2,0.9,0.1,1.2,1.0,0.0,1.1,1.0,0.3,1.3,1.0,0.2,1.3,1.1,-0.1,1.4,1.1,0.2,2.3,1.2,0.2,1.9,1.3,0.4,2.2,1.4,0.6,2.6,2.6,0.4,2.9,2.7,0.1,2.9,2.8,0.4,3.1,2.9
